X,Y,id,id_hidra,tipo_hidra,diametro_b,cota_impla,levantamen,foto_inter,foto_exter,origem_dad,proprietar,observacoe
-8.26850098166835,40.6810195696726,"85","85","2","6","413.9","1",,FOTOS\OF-UFRD WIN_20160823_18_20_49_Pro,"1","1",
-8.26864364227343,40.682554161265,"86","86","2","6","415.85","1",,FOTOS\OF-UFRD WIN_20160823_18_24_07_Pro,"1","1",
-8.26850587111282,40.6825543263429,"87","87","2","6","415.76","1",,FOTOS\OF-UFRD WIN_20160823_18_24_35_Pro,"1","1",
-8.26864200240051,40.6833680557101,"88","88","2","6","418.94","1",,FOTOS\OF-UFRD WIN_20160823_18_26_35_Pro,"1","1",
-8.26849960667267,40.6833574096734,"89","89","2","6","418.47","1",,FOTOS\OF-UFRD WIN_20160823_18_26_44_Pro,"1","1",
-8.26864641555451,40.6842019791161,"90","90","2","6","423.11","1",,FOTOS\OF-UFRD WIN_20160823_18_28_27_Pro,"1","1",
-8.26851105166785,40.684210081898,"91","91","2","6","423.23","1",,FOTOS\OF-UFRD WIN_20160823_18_28_38_Pro,"1","1",
-8.2754893905597,40.6758755330037,"92","92","2","6","378.21","1",,FOTOS\OF-UFRD WIN_20160823_17_41_50_Pro,"1","1",
-8.27752852787647,40.6800595133012,"93","93","2","6","408.44","1",,FOTOS\OF-UFRD WIN_20160823_17_25_42_Pro,"1","1",
-8.27913351277616,40.6786617124498,"94","94","2","6","419.92","1",,FOTOS\OF-UFRD WIN_20160823_17_22_06_Pro,"1","1",
-8.27866089777993,40.6793412718924,"95","95","2","6","407.63","1",,FOTOS\OF-UFRD WIN_20160823_17_23_35_Pro,"1","1",
-8.27499601833071,40.6802889702304,"96","96","2","6","411.53","1",,FOTOS\OF-UFRD WIN_20160823_18_04_16_Pro,"1","1",
-8.27582259343538,40.6717228126514,"97","97","2","6","379.99","1",,FOTOS\OF-UFRD WIN_20160823_16_18_38_Pro,"1","1",
-8.27286469569728,40.6679838188741,"98","98","2","6","359.3","1",,FOTOS\OF-UFRD WIN_20160823_16_03_58_Pro,"1","1",
-8.26870226389231,40.6706805696741,"99","99","2","6","334.41","1",,FOTOS\OF-UFRD WIN_20160823_16_08_53_Pro,"1","1",
-8.28341658111661,40.65107642578,"100","100","2","6","214.68","1",,FOTOS\OF-UFRD WIN_20160823_15_51_25_Pro,"1","1",
-8.2844497322182,40.6479327896623,"101","101","2","6","215.84","1",,FOTOS\OF-UFRD WIN_20160823_15_18_25_Pro,"1","1",
-8.28412995111501,40.6458649046636,"102","102","2","6","225.34","1",,FOTOS\OF-UFRD WIN_20160823_15_13_49_Pro,"1","1",
-8.29235816590599,40.6380596909217,"103","103","2","6","361.38","1",,FOTOS\OF-UFRD WIN_20160823_15_05_46_Pro,"1","1",
-8.26313194813072,40.6921814550587,"104","104","2","6","453.6","1",,FOTOS\OF-UFRD WIN_20160823_18_38_13_Pro,"1","1",
-8.2875496416706,40.6726390030084,"105","105","2","6","410.13","1",,FOTOS\OF-UFRD WIN_20160823_16_48_36_Pro,"1","1",
-8.28624421636206,40.6724545828204,"106","106","2","6","413.3","1",,FOTOS\OF-UFRD WIN_20160823_16_51_21_Pro,"1","1",
-8.28655193241963,40.6727099834119,"107","107","2","6","421","1",,FOTOS\OF-UFRD WIN_20160823_16_44_14_Pro,"1","1",
-8.2840894294401,40.6730521996742,"108","108","2","6","443.08","1",,FOTOS\OF-UFRD WIN_20160823_16_40_23_Pro,"1","1",
-8.28443112704224,40.6739175893899,"109","109","2","6","445.6","1",,FOTOS\OF-UFRD WIN_20160823_16_42_36_Pro,"1","1",
-8.28138194055638,40.6762270091197,"110","110","2","6","452.27","1",,FOTOS\OF-UFRD WIN_20160823_16_30_15_Pro,"1","1",
-8.28275935833581,40.6762143657802,"111","111","2","6","451.06","1",,FOTOS\OF-UFRD WIN_20160823_16_33_11_Pro,"1","1",
-8.28379337944275,40.6759604263336,"112","112","2","6","455.6","1",,FOTOS\OF-UFRD WIN_20160823_16_34_31_Pro,"1","1",
-8.28390777945,40.6762855413386,"113","113","2","6","462.73","1",,FOTOS\OF-UFRD WIN_20160823_16_56_36_Pro,"1","1",
-8.28563771732716,40.6758711527502,"114","114","2","6","470.93","1",,FOTOS\OF-UFRD WIN_20160823_16_58_35_Pro,"1","1",
-8.23708634367901,40.7068845773476,"115","115","2","6","466.06","1",,FOTOS\WIN_20180813_12_12_54_Pro.jpg,"1","1",
-8.21585375260942,40.7103785081724,"116","116","2","6","441.68","1",,FOTOS\WIN_20180813_11_47_20_Pro.jpg,"1","1",
-8.21152557142583,40.7315986954391,"117","117","2","6","346","1",,FOTOS\OF-PL-9311,"1","1",
-8.22962105279156,40.7123190323289,"118","118","2","6","488.4","1",,FOTOS\OF-PL-9229,"1","1",
-8.20970573230161,40.7292981760773,"119","119","2","6","359.21","1",,FOTOS\OF-PL-9314,"1","1",
-8.20601758426979,40.7307383095364,"120","120","2","6","368.79","1",,FOTOS\OF-PL-9309,"1","1",
-8.20682145443476,40.7299532379518,"121","121","2","6","375.62","1",,FOTOS\OF-PL-9308,"1","1",
